,Ar,NotflNr,NotFlHeiti,TegundNr,TegundHeiti,EldsnTegNr,EldsnTegHeiti,Notkun,Frumorka
3873,2012,21411,Lífdísilolía á tæki,1,Bifreiðar og tæki,14,Lífdísilolía,0.0,0.0
3887,2012,21510,Etanól á bifreiðar,1,Bifreiðar og tæki,15,Etanól,0.0,0.0
3889,2012,21610,Metanól á bifreiðar,1,Bifreiðar og tæki,16,Metanól,0.0,0.0
3892,2013,10210,"Bensín, blýlaust",1,Bifreiðar og tæki,2,Bensín,17804.0,845690.0
3893,2013,10510,Dísilolía á bifreiðar (frá söludælu),1,Bifreiðar og tæki,5,Dísilolía,8788.0,404248.0
3894,2013,10511,Dísilolía á tæki (frá bíl),1,Bifreiðar og tæki,5,Dísilolía,296.0,13616.0
3911,2013,10210,"Bensín, blýlaust",1,Bifreiðar og tæki,2,Bensín,41998.0,1826913.0
3913,2013,10510,Dísilolía á bifreiðar (frá söludælu),1,Bifreiðar og tæki,5,Dísilolía,47284.0,2037940.4
3914,2013,10511,Dísilolía á tæki (frá bíl),1,Bifreiðar og tæki,5,Dísilolía,12968.0,558920.8
3942,2013,21110,Metan á bifreiðar,1,Bifreiðar og tæki,11,Metan,1680.0,60564.0
3943,2013,21410,Lífdísilolía á bifreiðar,1,Bifreiðar og tæki,14,Lífdísilolía,122.0,5307.0
3944,2013,21411,Lífdísilolía á tæki,1,Bifreiðar og tæki,14,Lífdísilolía,47.0,2044.5
3948,2013,10210,"Bensín, blýlaust",1,Bifreiðar og tæki,2,Bensín,38265.0,1760190.0
3949,2013,10310,"Steinolía, samgöngur",1,Bifreiðar og tæki,3,Steinolía og þotueldsneyti,34.0,1467.78
3952,2013,10510,Dísilolía á bifreiðar (frá söludælu),1,Bifreiðar og tæki,5,Dísilolía,32295.0,1485247.05
3953,2013,10511,Dísilolía á tæki (frá bíl),1,Bifreiðar og tæki,5,Dísilolía,3968.0,182488.32
3985,2013,21110,Metan á bifreiðar,1,Bifreiðar og tæki,11,Metan,268.0,9661.4
3986,2013,21410,Lífdísilolía á bifreiðar,1,Bifreiðar og tæki,14,Lífdísilolía,2185.0,96140.0
3990,2013,10210,"Bensín, blýlaust",1,Bifreiðar og tæki,2,Bensín,36874.0,1696204.0
3991,2013,10310,"Steinolía, samgöngur",1,Bifreiðar og tæki,3,Steinolía og þotueldsneyti,56.0,2408.0
3994,2013,10510,Dísilolía á bifreiðar (frá söludælu),1,Bifreiðar og tæki,5,Dísilolía,28685.0,1233455.0
3995,2013,10511,Dísilolía á tæki (frá bíl),1,Bifreiðar og tæki,5,Dísilolía,10969.0,471667.0
4020,2013,21110,Metan á bifreiðar,1,Bifreiðar og tæki,11,Metan,0.0,0.0
4024,2014,10210,"Bensín, blýlaust",1,Bifreiðar og tæki,2,Bensín,17038.0,754783.4
4025,2014,10310,"Steinolía, samgöngur",1,Bifreiðar og tæki,3,Steinolía og þotueldsneyti,0.0,0.0
4026,2014,10390,"Steinolía, annað",1,Bifreiðar og tæki,3,Steinolía og þotueldsneyti,0.0,0.0
4029,2014,10510,Dísilolía á bifreiðar (frá söludælu),1,Bifreiðar og tæki,5,Dísilolía,9097.0,392990.4
4030,2014,10511,Dísilolía á tæki (frá bíl),1,Bifreiðar og tæki,5,Dísilolía,641.0,27691.2
4089,2014,21110,Metan á bifreiðar,1,Bifreiðar og tæki,11,Metan,0.0,0.0
4092,2014,21210,Vetni á bifreiðar,1,Bifreiðar og tæki,12,Vetni,0.0,0.0
4094,2014,21410,Lífdísilolía á bifreiðar,1,Bifreiðar og tæki,14,Lífdísilolía,258.0,11300.4
4095,2014,21411,Lífdísilolía á tæki,1,Bifreiðar og tæki,14,Lífdísilolía,9.0,394.2
4109,2014,21510,Etanól á bifreiðar,1,Bifreiðar og tæki,15,Etanól,0.0,0.0
4111,2014,21610,Metanól á bifreiðar,1,Bifreiðar og tæki,16,Metanól,0.0,0.0
4120,2014,10210,"Bensín, blýlaust",1,Bifreiðar og tæki,2,Bensín,0.0,0.0
4121,2014,10310,"Steinolía, samgöngur",1,Bifreiðar og tæki,3,Steinolía og þotueldsneyti,0.0,0.0
4122,2014,10390,"Steinolía, annað",1,Bifreiðar og tæki,3,Steinolía og þotueldsneyti,0.0,0.0
4125,2014,10510,Dísilolía á bifreiðar (frá söludælu),1,Bifreiðar og tæki,5,Dísilolía,0.0,0.0
4126,2014,10511,Dísilolía á tæki (frá bíl),1,Bifreiðar og tæki,5,Dísilolía,0.0,0.0
4185,2014,21110,Metan á bifreiðar,1,Bifreiðar og tæki,11,Metan,0.0,0.0
4188,2014,21210,Vetni á bifreiðar,1,Bifreiðar og tæki,12,Vetni,0.0,0.0
4190,2014,21410,Lífdísilolía á bifreiðar,1,Bifreiðar og tæki,14,Lífdísilolía,0.0,0.0
4191,2014,21411,Lífdísilolía á tæki,1,Bifreiðar og tæki,14,Lífdísilolía,0.0,0.0
4205,2014,21510,Etanól á bifreiðar,1,Bifreiðar og tæki,15,Etanól,0.0,0.0
4207,2014,21610,Metanól á bifreiðar,1,Bifreiðar og tæki,16,Metanól,0.0,0.0
4212,2014,10210,"Bensín, blýlaust",1,Bifreiðar og tæki,2,Bensín,40711.0,1803497.3
4213,2014,10310,"Steinolía, samgöngur",1,Bifreiðar og tæki,3,Steinolía og þotueldsneyti,104.0,4492.8
4214,2014,10390,"Steinolía, annað",1,Bifreiðar og tæki,3,Steinolía og þotueldsneyti,627.0,27086.4
4217,2014,10510,Dísilolía á bifreiðar (frá söludælu),1,Bifreiðar og tæki,5,Dísilolía,40230.0,1737936.0
4218,2014,10511,Dísilolía á tæki (frá bíl),1,Bifreiðar og tæki,5,Dísilolía,20050.0,866160.0
4277,2014,21110,Metan á bifreiðar,1,Bifreiðar og tæki,11,Metan,981.0,35365.05
4280,2014,21210,Vetni á bifreiðar,1,Bifreiðar og tæki,12,Vetni,0.0,0.0
4282,2014,21410,Lífdísilolía á bifreiðar,1,Bifreiðar og tæki,14,Lífdísilolía,1699.0,74416.2
4283,2014,21411,Lífdísilolía á tæki,1,Bifreiðar og tæki,14,Lífdísilolía,46.0,2014.8
4297,2014,21510,Etanól á bifreiðar,1,Bifreiðar og tæki,15,Etanól,0.0,0.0
4299,2014,21610,Metanól á bifreiðar,1,Bifreiðar og tæki,16,Metanól,0.0,0.0
4304,2014,10210,"Bensín, blýlaust",1,Bifreiðar og tæki,2,Bensín,36218.0,1666028.0
4305,2014,10310,"Steinolía, samgöngur",1,Bifreiðar og tæki,3,Steinolía og þotueldsneyti,31.0,1340.75
4306,2014,10390,"Steinolía, annað",1,Bifreiðar og tæki,3,Steinolía og þotueldsneyti,0.0,0.0
4309,2014,10510,Dísilolía á bifreiðar (frá söludælu),1,Bifreiðar og tæki,5,Dísilolía,31668.0,1456728.0
4310,2014,10511,Dísilolía á tæki (frá bíl),1,Bifreiðar og tæki,5,Dísilolía,7164.0,329544.0
4369,2014,21110,Metan á bifreiðar,1,Bifreiðar og tæki,11,Metan,880.0,31724.0
4372,2014,21210,Vetni á bifreiðar,1,Bifreiðar og tæki,12,Vetni,0.0,0.0
4374,2014,21410,Lífdísilolía á bifreiðar,1,Bifreiðar og tæki,14,Lífdísilolía,2522.0,111220.2
4375,2014,21411,Lífdísilolía á tæki,1,Bifreiðar og tæki,14,Lífdísilolía,0.0,0.0
4389,2014,21510,Etanól á bifreiðar,1,Bifreiðar og tæki,15,Etanól,0.0,0.0
4391,2014,21610,Metanól á bifreiðar,1,Bifreiðar og tæki,16,Metanól,0.0,0.0
4396,2014,10210,"Bensín, blýlaust",1,Bifreiðar og tæki,2,Bensín,0.0,0.0
4397,2014,10310,"Steinolía, samgöngur",1,Bifreiðar og tæki,3,Steinolía og þotueldsneyti,0.0,0.0
4398,2014,10390,"Steinolía, annað",1,Bifreiðar og tæki,3,Steinolía og þotueldsneyti,0.0,0.0
4401,2014,10510,Dísilolía á bifreiðar (frá söludælu),1,Bifreiðar og tæki,5,Dísilolía,0.0,0.0
4402,2014,10511,Dísilolía á tæki (frá bíl),1,Bifreiðar og tæki,5,Dísilolía,0.0,0.0
4461,2014,21110,Metan á bifreiðar,1,Bifreiðar og tæki,11,Metan,0.0,0.0
4464,2014,21210,Vetni á bifreiðar,1,Bifreiðar og tæki,12,Vetni,0.0,0.0
4466,2014,21410,Lífdísilolía á bifreiðar,1,Bifreiðar og tæki,14,Lífdísilolía,0.0,0.0
4467,2014,21411,Lífdísilolía á tæki,1,Bifreiðar og tæki,14,Lífdísilolía,0.0,0.0
4481,2014,21510,Etanól á bifreiðar,1,Bifreiðar og tæki,15,Etanól,0.0,0.0
4483,2014,21610,Metanól á bifreiðar,1,Bifreiðar og tæki,16,Metanól,0.0,0.0
4487,2014,21710,"Rafmagn, bifreiðar",1,Bifreiðar og tæki,17,Rafmagn,1029470.0,3706.092
4490,2014,10210,"Bensín, blýlaust",1,Bifreiðar og tæki,2,Bensín,38079.0,1751634.0
4491,2014,10310,"Steinolía, samgöngur",1,Bifreiðar og tæki,3,Steinolía og þotueldsneyti,0.0,0.0
4492,2014,10390,"Steinolía, annað",1,Bifreiðar og tæki,3,Steinolía og þotueldsneyti,0.0,0.0
4495,2014,10510,Dísilolía á bifreiðar (frá söludælu),1,Bifreiðar og tæki,5,Dísilolía,31751.0,1365293.0
4496,2014,10511,Dísilolía á tæki (frá bíl),1,Bifreiðar og tæki,5,Dísilolía,12602.0,541886.0
4555,2014,21110,Metan á bifreiðar,1,Bifreiðar og tæki,11,Metan,84.0,3028.2
4558,2014,21210,Vetni á bifreiðar,1,Bifreiðar og tæki,12,Vetni,0.0,0.0
4560,2014,21410,Lífdísilolía á bifreiðar,1,Bifreiðar og tæki,14,Lífdísilolía,0.0,0.0
4561,2014,21411,Lífdísilolía á tæki,1,Bifreiðar og tæki,14,Lífdísilolía,0.0,0.0
4575,2014,21510,Etanól á bifreiðar,1,Bifreiðar og tæki,15,Etanól,0.0,0.0
4577,2014,21610,Metanól á bifreiðar,1,Bifreiðar og tæki,16,Metanól,0.0,0.0
4580,2014,21710,"Rafmagn, bifreiðar",1,Bifreiðar og tæki,17,Rafmagn,52747.0,189.8892
4583,2015,10210,"Bensín, blýlaust",1,Bifreiðar og tæki,2,Bensín,16491.0,730551.3
4584,2015,10310,"Steinolía, samgöngur",1,Bifreiðar og tæki,3,Steinolía og þotueldsneyti,0.0,0.0
4585,2015,10390,"Steinolía, annað",1,Bifreiðar og tæki,3,Steinolía og þotueldsneyti,0.0,0.0
4588,2015,10510,Dísilolía á bifreiðar (frá söludælu),1,Bifreiðar og tæki,5,Dísilolía,8808.0,380505.6
4589,2015,10511,Dísilolía á tæki (frá bíl),1,Bifreiðar og tæki,5,Dísilolía,894.0,38620.8
4648,2015,21110,Metan á bifreiðar,1,Bifreiðar og tæki,11,Metan,0.0,0.0
4651,2015,21210,Vetni á bifreiðar,1,Bifreiðar og tæki,12,Vetni,0.0,0.0
4653,2015,21410,Lífdísilolía á bifreiðar,1,Bifreiðar og tæki,14,Lífdísilolía,1554.0,68065.2
4654,2015,21411,Lífdísilolía á tæki,1,Bifreiðar og tæki,14,Lífdísilolía,0.0,0.0
4668,2015,21510,Etanól á bifreiðar,1,Bifreiðar og tæki,15,Etanól,0.0,0.0
4670,2015,21610,Metanól á bifreiðar,1,Bifreiðar og tæki,16,Metanól,0.0,0.0
4675,2015,10210,"Bensín, blýlaust",1,Bifreiðar og tæki,2,Bensín,0.0,0.0
4676,2015,10310,"Steinolía, samgöngur",1,Bifreiðar og tæki,3,Steinolía og þotueldsneyti,0.0,0.0
4677,2015,10390,"Steinolía, annað",1,Bifreiðar og tæki,3,Steinolía og þotueldsneyti,0.0,0.0
4680,2015,10510,Dísilolía á bifreiðar (frá söludælu),1,Bifreiðar og tæki,5,Dísilolía,0.0,0.0
4681,2015,10511,Dísilolía á tæki (frá bíl),1,Bifreiðar og tæki,5,Dísilolía,0.0,0.0
4740,2015,21110,Metan á bifreiðar,1,Bifreiðar og tæki,11,Metan,0.0,0.0
4743,2015,21210,Vetni á bifreiðar,1,Bifreiðar og tæki,12,Vetni,0.0,0.0
4745,2015,21410,Lífdísilolía á bifreiðar,1,Bifreiðar og tæki,14,Lífdísilolía,0.0,0.0
4746,2015,21411,Lífdísilolía á tæki,1,Bifreiðar og tæki,14,Lífdísilolía,0.0,0.0
4760,2015,21510,Etanól á bifreiðar,1,Bifreiðar og tæki,15,Etanól,0.0,0.0
4762,2015,21610,Metanól á bifreiðar,1,Bifreiðar og tæki,16,Metanól,0.0,0.0
4770,2015,10210,"Bensín, blýlaust",1,Bifreiðar og tæki,2,Bensín,0.0,0.0
4771,2015,10310,"Steinolía, samgöngur",1,Bifreiðar og tæki,3,Steinolía og þotueldsneyti,0.0,0.0
4772,2015,10390,"Steinolía, annað",1,Bifreiðar og tæki,3,Steinolía og þotueldsneyti,0.0,0.0
4775,2015,10510,Dísilolía á bifreiðar (frá söludælu),1,Bifreiðar og tæki,5,Dísilolía,0.0,0.0
4776,2015,10511,Dísilolía á tæki (frá bíl),1,Bifreiðar og tæki,5,Dísilolía,0.0,0.0
4835,2015,21110,Metan á bifreiðar,1,Bifreiðar og tæki,11,Metan,0.0,0.0
4838,2015,21210,Vetni á bifreiðar,1,Bifreiðar og tæki,12,Vetni,0.0,0.0
4840,2015,21410,Lífdísilolía á bifreiðar,1,Bifreiðar og tæki,14,Lífdísilolía,0.0,0.0
4841,2015,21411,Lífdísilolía á tæki,1,Bifreiðar og tæki,14,Lífdísilolía,0.0,0.0
4855,2015,21510,Etanól á bifreiðar,1,Bifreiðar og tæki,15,Etanól,0.0,0.0
4857,2015,21610,Metanól á bifreiðar,1,Bifreiðar og tæki,16,Metanól,0.0,0.0
4862,2015,10210,"Bensín, blýlaust",1,Bifreiðar og tæki,2,Bensín,42800.0,1896040.0
4863,2015,10310,"Steinolía, samgöngur",1,Bifreiðar og tæki,3,Steinolía og þotueldsneyti,122.0,5246.0
4864,2015,10390,"Steinolía, annað",1,Bifreiðar og tæki,3,Steinolía og þotueldsneyti,29.0,1247.0
4867,2015,10510,Dísilolía á bifreiðar (frá söludælu),1,Bifreiðar og tæki,5,Dísilolía,48437.0,2092478.4
4868,2015,10511,Dísilolía á tæki (frá bíl),1,Bifreiðar og tæki,5,Dísilolía,13253.0,572529.6
4927,2015,21110,Metan á bifreiðar,1,Bifreiðar og tæki,11,Metan,947.0,34139.35
4930,2015,21210,Vetni á bifreiðar,1,Bifreiðar og tæki,12,Vetni,0.0,0.0
4932,2015,21410,Lífdísilolía á bifreiðar,1,Bifreiðar og tæki,14,Lífdísilolía,4073.0,178397.4
4933,2015,21411,Lífdísilolía á tæki,1,Bifreiðar og tæki,14,Lífdísilolía,0.0,0.0
4947,2015,21510,Etanól á bifreiðar,1,Bifreiðar og tæki,15,Etanól,832.0,21964.8
4949,2015,21610,Metanól á bifreiðar,1,Bifreiðar og tæki,16,Metanól,0.0,0.0
4954,2015,10210,"Bensín, blýlaust",1,Bifreiðar og tæki,2,Bensín,35970.0,1593471.0
4955,2015,10310,"Steinolía, samgöngur",1,Bifreiðar og tæki,3,Steinolía og þotueldsneyti,35.0,1505.0
4956,2015,10390,"Steinolía, annað",1,Bifreiðar og tæki,3,Steinolía og þotueldsneyti,0.0,0.0
4959,2015,10510,Dísilolía á bifreiðar (frá söludælu),1,Bifreiðar og tæki,5,Dísilolía,35113.0,1516881.6
4960,2015,10511,Dísilolía á tæki (frá bíl),1,Bifreiðar og tæki,5,Dísilolía,7246.0,313027.2
5019,2015,21110,Metan á bifreiðar,1,Bifreiðar og tæki,11,Metan,955.0,34427.75
5022,2015,21210,Vetni á bifreiðar,1,Bifreiðar og tæki,12,Vetni,0.0,0.0
5024,2015,21410,Lífdísilolía á bifreiðar,1,Bifreiðar og tæki,14,Lífdísilolía,3101.0,135823.8
5025,2015,21411,Lífdísilolía á tæki,1,Bifreiðar og tæki,14,Lífdísilolía,0.0,0.0
5039,2015,21510,Etanól á bifreiðar,1,Bifreiðar og tæki,15,Etanól,490.0,12936.0
5041,2015,21610,Metanól á bifreiðar,1,Bifreiðar og tæki,16,Metanól,0.0,0.0
5046,2015,10210,"Bensín, blýlaust",1,Bifreiðar og tæki,2,Bensín,0.0,0.0
5047,2015,10310,"Steinolía, samgöngur",1,Bifreiðar og tæki,3,Steinolía og þotueldsneyti,0.0,0.0
5048,2015,10390,"Steinolía, annað",1,Bifreiðar og tæki,3,Steinolía og þotueldsneyti,0.0,0.0
5051,2015,10510,Dísilolía á bifreiðar (frá söludælu),1,Bifreiðar og tæki,5,Dísilolía,0.0,0.0
5052,2015,10511,Dísilolía á tæki (frá bíl),1,Bifreiðar og tæki,5,Dísilolía,0.0,0.0
5111,2015,21110,Metan á bifreiðar,1,Bifreiðar og tæki,11,Metan,0.0,0.0
5114,2015,21210,Vetni á bifreiðar,1,Bifreiðar og tæki,12,Vetni,0.0,0.0
5116,2015,21410,Lífdísilolía á bifreiðar,1,Bifreiðar og tæki,14,Lífdísilolía,0.0,0.0
5117,2015,21411,Lífdísilolía á tæki,1,Bifreiðar og tæki,14,Lífdísilolía,0.0,0.0
5131,2015,21510,Etanól á bifreiðar,1,Bifreiðar og tæki,15,Etanól,0.0,0.0
5133,2015,21610,Metanól á bifreiðar,1,Bifreiðar og tæki,16,Metanól,0.0,0.0
5136,2015,21710,"Rafmagn, bifreiðar",1,Bifreiðar og tæki,17,Rafmagn,1717339.0,6182.4204
5139,2015,10210,"Bensín, blýlaust",1,Bifreiðar og tæki,2,Bensín,37213.0,1648535.9
5140,2015,10310,"Steinolía, samgöngur",1,Bifreiðar og tæki,3,Steinolía og þotueldsneyti,0.0,0.0
5141,2015,10390,"Steinolía, annað",1,Bifreiðar og tæki,3,Steinolía og þotueldsneyti,0.0,0.0
5144,2015,10510,Dísilolía á bifreiðar (frá söludælu),1,Bifreiðar og tæki,5,Dísilolía,34013.0,1469361.6
5145,2015,10511,Dísilolía á tæki (frá bíl),1,Bifreiðar og tæki,5,Dísilolía,11690.0,505008.0
5204,2015,21110,Metan á bifreiðar,1,Bifreiðar og tæki,11,Metan,275.0,9913.75
5207,2015,21210,Vetni á bifreiðar,1,Bifreiðar og tæki,12,Vetni,0.0,0.0
5209,2015,21410,Lífdísilolía á bifreiðar,1,Bifreiðar og tæki,14,Lífdísilolía,3189.0,137127.0
5210,2015,21411,Lífdísilolía á tæki,1,Bifreiðar og tæki,14,Lífdísilolía,0.0,0.0
5224,2015,21510,Etanól á bifreiðar,1,Bifreiðar og tæki,15,Etanól,608.0,16051.2
5226,2015,21610,Metanól á bifreiðar,1,Bifreiðar og tæki,16,Metanól,0.0,0.0
5229,2015,21710,"Rafmagn, bifreiðar",1,Bifreiðar og tæki,17,Rafmagn,202252.0,728.1072
5232,2016,10210,"Bensín, blýlaust",1,Bifreiðar og tæki,2,Bensín,15966.0,707293.8
5233,2016,10310,"Steinolía, samgöngur",1,Bifreiðar og tæki,3,Steinolía og þotueldsneyti,0.0,0.0
5234,2016,10390,"Steinolía, annað",1,Bifreiðar og tæki,3,Steinolía og þotueldsneyti,0.0,0.0
5237,2016,10510,Dísilolía á bifreiðar (frá söludælu),1,Bifreiðar og tæki,5,Dísilolía,9503.0,407678.7
5238,2016,10511,Dísilolía á tæki (frá bíl),1,Bifreiðar og tæki,5,Dísilolía,1058.0,45388.2
5297,2016,21110,Metan á bifreiðar,1,Bifreiðar og tæki,11,Metan,0.0,0.0
5300,2016,21210,Vetni á bifreiðar,1,Bifreiðar og tæki,12,Vetni,0.0,0.0
5302,2016,21410,Lífdísilolía á bifreiðar,1,Bifreiðar og tæki,14,Lífdísilolía,1817.0,79584.6
5303,2016,21411,Lífdísilolía á tæki,1,Bifreiðar og tæki,14,Lífdísilolía,81.0,3547.8
5317,2016,21510,Etanól á bifreiðar,1,Bifreiðar og tæki,15,Etanól,0.0,0.0
5319,2016,21610,Metanól á bifreiðar,1,Bifreiðar og tæki,16,Metanól,0.0,0.0
5322,2016,21610,Metanól á bifreiðar,1,Bifreiðar og tæki,16,Metanól,6.0,119.4
5330,2016,10210,"Bensín, blýlaust",1,Bifreiðar og tæki,2,Bensín,0.0,0.0
5331,2016,10310,"Steinolía, samgöngur",1,Bifreiðar og tæki,3,Steinolía og þotueldsneyti,0.0,0.0
5332,2016,10390,"Steinolía, annað",1,Bifreiðar og tæki,3,Steinolía og þotueldsneyti,0.0,0.0
5335,2016,10510,Dísilolía á bifreiðar (frá söludælu),1,Bifreiðar og tæki,5,Dísilolía,0.0,0.0
5336,2016,10511,Dísilolía á tæki (frá bíl),1,Bifreiðar og tæki,5,Dísilolía,0.0,0.0
5395,2016,21110,Metan á bifreiðar,1,Bifreiðar og tæki,11,Metan,0.0,0.0
5398,2016,21210,Vetni á bifreiðar,1,Bifreiðar og tæki,12,Vetni,0.0,0.0
5400,2016,21410,Lífdísilolía á bifreiðar,1,Bifreiðar og tæki,14,Lífdísilolía,0.0,0.0
5401,2016,21411,Lífdísilolía á tæki,1,Bifreiðar og tæki,14,Lífdísilolía,0.0,0.0
5415,2016,21510,Etanól á bifreiðar,1,Bifreiðar og tæki,15,Etanól,0.0,0.0
5417,2016,21610,Metanól á bifreiðar,1,Bifreiðar og tæki,16,Metanól,0.0,0.0
5422,2016,10210,"Bensín, blýlaust",1,Bifreiðar og tæki,2,Bensín,0.0,0.0
5423,2016,10310,"Steinolía, samgöngur",1,Bifreiðar og tæki,3,Steinolía og þotueldsneyti,0.0,0.0
5424,2016,10390,"Steinolía, annað",1,Bifreiðar og tæki,3,Steinolía og þotueldsneyti,0.0,0.0
5427,2016,10510,Dísilolía á bifreiðar (frá söludælu),1,Bifreiðar og tæki,5,Dísilolía,0.0,0.0
5428,2016,10511,Dísilolía á tæki (frá bíl),1,Bifreiðar og tæki,5,Dísilolía,0.0,0.0
5487,2016,21110,Metan á bifreiðar,1,Bifreiðar og tæki,11,Metan,0.0,0.0
5490,2016,21210,Vetni á bifreiðar,1,Bifreiðar og tæki,12,Vetni,0.0,0.0
5492,2016,21410,Lífdísilolía á bifreiðar,1,Bifreiðar og tæki,14,Lífdísilolía,0.0,0.0
5493,2016,21411,Lífdísilolía á tæki,1,Bifreiðar og tæki,14,Lífdísilolía,0.0,0.0
5507,2016,21510,Etanól á bifreiðar,1,Bifreiðar og tæki,15,Etanól,0.0,0.0
5509,2016,21610,Metanól á bifreiðar,1,Bifreiðar og tæki,16,Metanól,0.0,0.0
5514,2016,10210,"Bensín, blýlaust",1,Bifreiðar og tæki,2,Bensín,44190.0,1957617.0
5515,2016,10310,"Steinolía, samgöngur",1,Bifreiðar og tæki,3,Steinolía og þotueldsneyti,0.0,0.0
5516,2016,10390,"Steinolía, annað",1,Bifreiðar og tæki,3,Steinolía og þotueldsneyti,5.0,216.0
5519,2016,10510,Dísilolía á bifreiðar (frá söludælu),1,Bifreiðar og tæki,5,Dísilolía,56245.0,2429784.0
5520,2016,10511,Dísilolía á tæki (frá bíl),1,Bifreiðar og tæki,5,Dísilolía,14055.0,607176.0
5579,2016,21110,Metan á bifreiðar,1,Bifreiðar og tæki,11,Metan,435.0,15681.75
5582,2016,21210,Vetni á bifreiðar,1,Bifreiðar og tæki,12,Vetni,0.0,0.0
5584,2016,21410,Lífdísilolía á bifreiðar,1,Bifreiðar og tæki,14,Lífdísilolía,3967.0,173754.6
5585,2016,21411,Lífdísilolía á tæki,1,Bifreiðar og tæki,14,Lífdísilolía,0.0,0.0
5599,2016,21510,Etanól á bifreiðar,1,Bifreiðar og tæki,15,Etanól,1814.0,47889.6
5601,2016,21610,Metanól á bifreiðar,1,Bifreiðar og tæki,16,Metanól,0.0,0.0
5606,2016,10210,"Bensín, blýlaust",1,Bifreiðar og tæki,2,Bensín,0.0,0.0
5607,2016,10310,"Steinolía, samgöngur",1,Bifreiðar og tæki,3,Steinolía og þotueldsneyti,0.0,0.0
5608,2016,10390,"Steinolía, annað",1,Bifreiðar og tæki,3,Steinolía og þotueldsneyti,0.0,0.0
5611,2016,10510,Dísilolía á bifreiðar (frá söludælu),1,Bifreiðar og tæki,5,Dísilolía,0.0,0.0
5612,2016,10511,Dísilolía á tæki (frá bíl),1,Bifreiðar og tæki,5,Dísilolía,0.0,0.0
5671,2016,21110,Metan á bifreiðar,1,Bifreiðar og tæki,11,Metan,0.0,0.0
5674,2016,21210,Vetni á bifreiðar,1,Bifreiðar og tæki,12,Vetni,0.0,0.0
5676,2016,21410,Lífdísilolía á bifreiðar,1,Bifreiðar og tæki,14,Lífdísilolía,0.0,0.0
5677,2016,21411,Lífdísilolía á tæki,1,Bifreiðar og tæki,14,Lífdísilolía,0.0,0.0
5691,2016,21510,Etanól á bifreiðar,1,Bifreiðar og tæki,15,Etanól,0.0,0.0
5693,2016,21610,Metanól á bifreiðar,1,Bifreiðar og tæki,16,Metanól,0.0,0.0
5698,2016,10210,"Bensín, blýlaust",1,Bifreiðar og tæki,2,Bensín,37592.0,1665325.6
5699,2016,10310,"Steinolía, samgöngur",1,Bifreiðar og tæki,3,Steinolía og þotueldsneyti,28.0,1209.6
5700,2016,10390,"Steinolía, annað",1,Bifreiðar og tæki,3,Steinolía og þotueldsneyti,0.0,0.0
5703,2016,10510,Dísilolía á bifreiðar (frá söludælu),1,Bifreiðar og tæki,5,Dísilolía,41287.0,1783598.4
5704,2016,10511,Dísilolía á tæki (frá bíl),1,Bifreiðar og tæki,5,Dísilolía,8583.0,370785.6
5763,2016,21110,Metan á bifreiðar,1,Bifreiðar og tæki,11,Metan,771.0,27794.55
5766,2016,21210,Vetni á bifreiðar,1,Bifreiðar og tæki,12,Vetni,0.0,0.0
5768,2016,21410,Lífdísilolía á bifreiðar,1,Bifreiðar og tæki,14,Lífdísilolía,2559.0,112084.2
5769,2016,21411,Lífdísilolía á tæki,1,Bifreiðar og tæki,14,Lífdísilolía,0.0,0.0
5783,2016,21510,Etanól á bifreiðar,1,Bifreiðar og tæki,15,Etanól,1308.0,34531.2
5785,2016,21610,Metanól á bifreiðar,1,Bifreiðar og tæki,16,Metanól,0.0,0.0
5790,2016,10210,"Bensín, blýlaust",1,Bifreiðar og tæki,2,Bensín,0.0,0.0
5791,2016,10310,"Steinolía, samgöngur",1,Bifreiðar og tæki,3,Steinolía og þotueldsneyti,0.0,0.0
5792,2016,10390,"Steinolía, annað",1,Bifreiðar og tæki,3,Steinolía og þotueldsneyti,0.0,0.0
5795,2016,10510,Dísilolía á bifreiðar (frá söludælu),1,Bifreiðar og tæki,5,Dísilolía,0.0,0.0
5796,2016,10511,Dísilolía á tæki (frá bíl),1,Bifreiðar og tæki,5,Dísilolía,0.0,0.0
5855,2016,21110,Metan á bifreiðar,1,Bifreiðar og tæki,11,Metan,0.0,0.0
5858,2016,21210,Vetni á bifreiðar,1,Bifreiðar og tæki,12,Vetni,0.0,0.0
5860,2016,21410,Lífdísilolía á bifreiðar,1,Bifreiðar og tæki,14,Lífdísilolía,0.0,0.0
5861,2016,21411,Lífdísilolía á tæki,1,Bifreiðar og tæki,14,Lífdísilolía,0.0,0.0
5875,2016,21510,Etanól á bifreiðar,1,Bifreiðar og tæki,15,Etanól,0.0,0.0
5877,2016,21610,Metanól á bifreiðar,1,Bifreiðar og tæki,16,Metanól,0.0,0.0
5880,2016,21710,"Rafmagn, bifreiðar",1,Bifreiðar og tæki,17,Rafmagn,3161008.0,11379.6288
5883,2016,10210,"Bensín, blýlaust",1,Bifreiðar og tæki,2,Bensín,38607.0,1710290.1
5884,2016,10310,"Steinolía, samgöngur",1,Bifreiðar og tæki,3,Steinolía og þotueldsneyti,0.0,0.0
5885,2016,10390,"Steinolía, annað",1,Bifreiðar og tæki,3,Steinolía og þotueldsneyti,0.0,0.0
