,Ar,TegundNr,EldsnTegHeiti,Notkun,Frumorka,Losun (kg)
2105,2005,1,Bensín,46605.0,2087904.0,107657.55
2128,2006,1,Bensín,16039.0,718547.2,37050.090000000004
2136,2006,1,Bensín,56365.0,2525152.0,130203.15000000001
2207,2006,1,Bensín,43658.0,1955878.4,100849.98
2242,2006,1,Bensín,45166.0,2023436.8,104333.46
2265,2007,1,Bensín,20096.0,900300.8,46421.76
2273,2007,1,Bensín,54908.0,2459878.4,126837.48
2315,2007,1,Bensín,42722.0,1913945.6,98687.82
2379,2007,1,Bensín,42196.0,1890380.8,97472.76000000001
2401,2008,1,Bensín,23870.0,1069376.0,55139.700000000004
2432,2008,1,Bensín,50462.0,2260697.6,116567.22
2513,2008,1,Bensín,42048.0,1883750.4,97130.88
2578,2008,1,Bensín,38735.0,1735328.0,89477.85
2639,2009,1,Bensín,24030.0,1076544.0,55509.3
2651,2009,1,Bensín,49748.0,2228710.4,114917.88
2728,2009,1,Bensín,42283.0,1894278.4,97673.73
2789,2009,1,Bensín,38871.0,1741420.8,89792.01000000001
2849,2010,1,Bensín,23963.0,1073542.4,55354.53
2881,2010,1,Bensín,46808.0,2096998.4,108126.48
2959,2010,1,Bensín,38117.0,1707641.6,88050.27
3026,2010,1,Bensín,39326.0,1761804.8,90843.06
3084,2011,1,Bensín,22139.0,991827.2,51141.090000000004
3115,2011,1,Bensín,45310.0,2029888.0,104666.1
3197,2011,1,Bensín,35323.0,1582470.4,81596.13
3265,2011,1,Bensín,39916.0,1788236.8,92205.96
3337,2012,1,Bensín,19758.0,885158.4,45640.98
3429,2012,1,Bensín,0.0,0.0,0.0
3521,2012,1,Bensín,43016.0,1927116.8,99366.96
3618,2012,1,Bensín,0.0,0.0,0.0
3710,2012,1,Bensín,36837.0,1650297.6,85093.47
3802,2012,1,Bensín,37230.0,1667904.0,86001.3
3892,2013,1,Bensín,17804.0,845690.0,41127.24
3911,2013,1,Bensín,41998.0,1826913.0,97015.38
3948,2013,1,Bensín,38265.0,1760190.0,88392.15000000001
3990,2013,1,Bensín,36874.0,1696204.0,85178.94
4024,2014,1,Bensín,17038.0,754783.4,39357.78
4120,2014,1,Bensín,0.0,0.0,0.0
4212,2014,1,Bensín,40711.0,1803497.3,94042.41
4304,2014,1,Bensín,36218.0,1666028.0,83663.58
4396,2014,1,Bensín,0.0,0.0,0.0
4490,2014,1,Bensín,38079.0,1751634.0,87962.49
